"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"of330k9ce2ds3ohou0j9086mv6";"control";"2";"definite";"pro";-85;2
"of330k9ce2ds3ohou0j9086mv6";"f";"8";"dm";"no_dm";-72;2
"of330k9ce2ds3ohou0j9086mv6";"control";"4";"definite";"pro";-23;2
"of330k9ce2ds3ohou0j9086mv6";"f";"5";"dm";"no_dm";-34;2
"of330k9ce2ds3ohou0j9086mv6";"f";"3";"front";"unfront";-39;2
"p4ru0s9ktubd1q3k2qm65i3po3";"f";"7";"dm";"no_dm";-34;2
"p4ru0s9ktubd1q3k2qm65i3po3";"f";"6";"no_dm";"dm";35;2
"p4ru0s9ktubd1q3k2qm65i3po3";"f";"8";"no_dm";"dm";61;2
"p4ru0s9ktubd1q3k2qm65i3po3";"control";"3";"definite";"pro";0;2
"p4ru0s9ktubd1q3k2qm65i3po3";"f";"4";"unfront";"front";-68;2
"p4ru0s9ktubd1q3k2qm65i3po3";"control";"4";"definite";"pro";78;2
"p4ru0s9ktubd1q3k2qm65i3po3";"f";"2";"front";"unfront";61;2
"p4ru0s9ktubd1q3k2qm65i3po3";"f";"1";"front";"unfront";81;2
"p4ru0s9ktubd1q3k2qm65i3po3";"f";"5";"dm";"no_dm";-88;2
"p4ru0s9ktubd1q3k2qm65i3po3";"control";"2";"definite";"pro";-100;2
"p4ru0s9ktubd1q3k2qm65i3po3";"f";"3";"front";"unfront";0;2
"p4ru0s9ktubd1q3k2qm65i3po3";"control";"1";"definite";"pro";96;2
"qvdoq4dbkukl9pukvrfie6ri53";"f";"7";"dm";"no_dm";-100;2
"qvdoq4dbkukl9pukvrfie6ri53";"control";"3";"definite";"pro";100;2
